type_clothes,price,address,image_link
T-shirt à col Lacoste homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4191881_uploaded_image1_1682551258.jpg
Pantalon Kaki,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4191882_uploaded_image1_1682551339.jpg
Ensemble homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4188989_uploaded_image1_1682377403.jpg
Ensemble homme,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4188984_uploaded_image1_1682377317.jpg
Pantalon Kaki,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4191866_uploaded_image1_1682550859.jpg
Pantalon Jeans homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4188976_uploaded_image1_1682377014.jpg
T-shirt,4 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4188975_uploaded_image1_1682376930.jpg
Ensemble homme,12 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4188977_uploaded_image1_1682377106.jpg
Bazin riche Super Manium gold,5 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4195388_uploaded_image1_1682809704.jpg
Ensemble homme,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4195399_uploaded_image1_1682810078.jpg
Pantalon Kaki,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194361_uploaded_image1_1682723105.jpg
T-shirt à col Lacoste homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194359_uploaded_image1_1682723036.jpg
Pantalon Jeans homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194357_uploaded_image1_1682722969.jpg
Ensemble homme,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194347_uploaded_image1_1682722511.jpg
Vêtement homme,35 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4199170_uploaded_image1_1683053996.jpg
Sous-vêtements coton,1 200CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4225651_uploaded_image2_1684757635.jpeg
Blousons homme,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4189849_uploaded_image1_1682435351.jpg
Caleçon cotton,12 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4189638_uploaded_image3_1682426795.jpeg
Ensemble homme,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4189547_uploaded_image1_1682423550.jpg
Vêtements homme,18 500CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4282877_uploaded_image1_1688607775.jpg
Ensemble mixte,10 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4282695_uploaded_image1_1688592778.jpg
T-shirt homme,4 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4282681_uploaded_image1_1688591670.jpg
Ensemble homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268460_uploaded_image1_1687548168.jpg
Ensemble homme,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268463_uploaded_image1_1687548232.jpg
Polo homme,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4280901_uploaded_image1_1688494320.jpg
Chemise homme,12 750CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4249916_uploaded_image1_1686331257.jpg
Jogging homme,20 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4279434_uploaded_image1_1688413058.jpg
Vêtements homme,15 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4246760_uploaded_image1_1686156241.jpg
Vêtements homme,12 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4251156_uploaded_image1_1686414093.jpg
Vêtements homme,12 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4251153_uploaded_image1_1686413989.jpg
Vêtements homme,6 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4250654_uploaded_image1_1686386724.jpg
Ensemble homme,12 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4250623_uploaded_image1_1686385265.jpg
Vêtements homme,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4244038_uploaded_image1_1686005857.jpg
Vêtements homme,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4244037_uploaded_image1_1686005781.jpg
Vêtements homme,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4244035_uploaded_image1_1686005489.jpg
Vêtements homme,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4244036_uploaded_image1_1686005636.jpg
Vêtements homme,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4263428_uploaded_image1_1687269380.jpg
Ensemble homme,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4248799_uploaded_image1_1686265206.jpg
Pantalon Kaki,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4248798_uploaded_image1_1686265140.jpg
Vêtements homme,25 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4247315_uploaded_image1_1686182879.jpg
Pantalon homme,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4262797_uploaded_image1_1687218243.jpg
T-shirt,3 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4262791_uploaded_image1_1687217702.jpg
Jogging homme,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4250337_uploaded_image1_1686350272.jpg
Ensemble homme,16 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4247282_uploaded_image1_1686180672.jpg
Pantalon Cargo,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4271709_uploaded_image1_1687822824.jpg
Caleçon homme,12 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4271700_uploaded_image1_1687822421.jpg
Ensemble homme,8 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4271698_uploaded_image1_1687822214.jpg
Pantalon Kaki,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4271694_uploaded_image1_1687822081.jpg
T-shirt,6 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4267346_uploaded_image1_1687474398.jpg
